1789221611810	play_begin	/sdcard/Android/data/dev.agenttranslator/files/air/ru	80	1	3000	-20.0	15/15
1789221611846	play	tat_1411749.wav	2870.1	-20.0	-1.4	16000
1789221617905	play	tat_1457797.wav	2529.9	-20.0	-0.7	16000
1789221623642	play	tat_1722534.wav	2194.3	-20.0	1.0	16000
1789221629047	play	tat_1826085.wav	2570.1	-20.0	-2.7	16000
1789221634825	play	tat_2335369.wav	1970.1	-20.0	-3.5	16000
1789221640031	play	tat_2335447.wav	3070.1	-20.0	-4.9	16000
1789221646357	play	tat_2404225.wav	2620.1	-20.0	-0.7	16000
1789221652223	play	tat_2720840.wav	2720.1	-20.0	-2.7	16000
1789221658175	play	tat_2754913.wav	1100.0	-20.0	-1.2	16000
1789221662462	play	tat_3282130.wav	2592.9	-20.0	-5.9	16000
1789221668271	play	tat_3283042.wav	1970.1	-20.0	0.2	16000
1789221673470	play	tat_329723.wav	1400.0	-20.0	-1.8	16000
1789221678117	play	tat_329907.wav	1650.0	-20.0	-0.7	16000
1789221683005	play	tat_330507.wav	3100.0	-20.0	0.5	16000
1789221689328	play	tat_330509.wav	2700.0	-20.0	-0.5	16000
1789221695284	play	tat_3354267.wav	8079.9	-20.0	-4.9	16000
1789221706634	play	tat_337429.wav	2150.0	-20.0	0.2	16000
1789221712015	play	tat_337437.wav	2250.0	-20.0	-1.2	16000
1789221717483	play	tat_338488.wav	1300.0	-20.0	-1.3	16000
1789221722018	play	tat_338491.wav	2800.0	-20.9	0.8	16000
1789221728061	play	tat_351203.wav	3250.0	-20.0	0.2	16000
1789221734526	play	tat_351209.wav	1900.0	-20.0	-0.9	16000
1789221739666	play	tat_351210.wav	2900.0	-20.0	-0.5	16000
1789221745790	play	tat_351211.wav	2050.0	-20.0	1.0	16000
1789221751068	play	tat_351212.wav	2050.0	-20.0	-1.2	16000
1789221756360	play	tat_351673.wav	2100.0	-20.0	-0.6	16000
1789221761695	play	tat_351799.wav	1650.0	-20.0	-1.2	16000
1789221766590	play	tat_358165.wav	1600.0	-20.0	-0.0	16000
1789221771420	play	tat_366844.wav	1550.0	-20.0	-0.1	16000
1789221776220	play	tat_370862.wav	2950.0	-20.8	0.8	16000
1789221782405	play	tat_374869.wav	1000.0	-20.0	0.4	16000
